Time,Time Code,Country Name,Country Code,Adjusted net national income (current US$) [NY.ADJ.NNTY.CD],Income share held by highest 20% [SI.DST.05TH.20],Income share held by lowest 20% [SI.DST.FRST.20],Food exports (% of merchandise exports) [TX.VAL.FOOD.ZS.UN],Food imports (% of merchandise imports) [TM.VAL.FOOD.ZS.UN],Food production index (2014-2016 = 100) [AG.PRD.FOOD.XD]
2001,YR2001,Sweden,SWE,203356680043.074,,,3.01089760820782,7.04768861725124,98.68
2001,YR2001,Afghanistan,AFG,,,,,,62.28
2001,YR2001,Albania,ALB,3649170531.1413,,,5.78985653392675,19.3800309935046,65.89
2001,YR2001,Algeria,DZA,41404872637.2099,,,0.148606444057863,26.1361517616116,45.04
2001,YR2001,American Samoa,ASM,,,,,,75.09
2001,YR2001,Andorra,AND,,,,4.92858266583827,20.085335631578,
2001,YR2001,Angola,AGO,4498556956.02027,,,,,38.9
2001,YR2001,Antigua and Barbuda,ATG,,,,,,142.53
2001,YR2001,Argentina,ARG,223514183897.641,57,2.6,44.2313342975993,5.72428376826837,69.51
2001,YR2001,Armenia,ARM,1847306380.94511,43.9,7.7,22.6316832558336,24.2491289513127,48.88
2001,YR2001,Aruba,ABW,1665128463.28617,,,45.0748709458676,23.8069590469182,
2001,YR2001,Australia,AUS,299958011505.581,40.9,7.4,20.5933416064631,4.94222006021166,88.04
2001,YR2001,Austria,AUT,161884718524.572,,,5.12483610701989,5.78783074161474,97.55
2001,YR2001,Azerbaijan,AZE,3529007593.02241,44.5,7.4,2.31306992924409,16.1626226867643,59.68
2001,YR2001,"Bahamas, The",BHS,7579612157.74615,,,52.6657726456152,17.5129779528291,67.22
2001,YR2001,Bahrain,BHR,7407035609.15595,,,0.607900146508297,11.7418912076275,41.34
2001,YR2001,Bangladesh,BGD,51214917730.8092,,,6.06966941597294,17.3900891315011,61.83
2001,YR2001,Barbados,BRB,2648469121.15054,,,42.4234599063456,17.1548802248443,111.25
2001,YR2001,Belarus,BLR,10241212355.2934,38.9,8.2,8.01083906303938,10.6128800887182,71.84
2001,YR2001,Belgium,BEL,200876117538.463,,,9.17188242023965,8.6704857146296,94.75
2001,YR2001,Belize,BLZ,674011072.750514,,,34.5868484402732,13.73500940317,95.52
2001,YR2001,Benin,BEN,3017433611.0429,,,19.0624038417329,20.3607308180196,55.31
2001,YR2001,Bermuda,BMU,,,,,,92.82
2001,YR2001,Bhutan,BTN,420411301.041952,,,,,76.91
2001,YR2001,Bolivia,BOL,7088244096.78387,60.6,1.9,29.2208671962677,14.8596660303638,55.21
2001,YR2001,Bosnia and Herzegovina,BIH,5776583036.91847,38.8,8.8,,,70.12
2001,YR2001,Botswana,BWA,4760944775.90419,,,3.18026121692859,13.9167860606947,101.47
2001,YR2001,Brazil,BRA,491827935918.534,62.5,2.5,27.4725847081467,5.69552691718607,59.44
2001,YR2001,British Virgin Islands,VGB,,,,,,96.02
