Country Name,"Country Code","Series Name","Series Code","2001 [YR2001]","2002 [YR2002]","2003 [YR2003]","2004 [YR2004]","2005 [YR2005]","2006 [YR2006]","2007 [YR2007]","2008 [YR2008]","2009 [YR2009]","2010 [YR2010]","2011 [YR2011]","2012 [YR2012]","2013 [YR2013]","2014 [YR2014]","2015 [YR2015]","2016 [YR2016]","2017 [YR2017]","2018 [YR2018]","2019 [YR2019]","2020 [YR2020]"
Sweden,"SWE","Food exports (% of merchandise exports)","TX.VAL.FOOD.ZS.UN","3.01089760820782","3.20165914935217","3.31815713021752","3.3266853802078","3.46459797467397","3.50410942185358","3.56734106374672","3.92430898627334","4.92675991221341","4.69571572070245","4.44535906205151","4.93998601633957","5.77298240646137","6.1100930290218","6.29630739111154","6.84720842700655","6.31433098580547","6.26941106440621","6.33628112090282","6.77998728559192"
Sweden,"SWE","Food imports (% of merchandise imports)","TM.VAL.FOOD.ZS.UN","7.04768861725124","7.71812897412303","7.78986717154282","7.58092286542762","7.37507902920936","7.41730646406004","7.42355120515336","7.85856885663632","9.87475451679029","8.77215598641989","8.56269335098188","9.15446865120852","10.4185306163687","10.636118091114","10.8420948762178","11.3729540001498","10.7018299165648","10.3896408239263","10.6600458519974","11.2805374784128"
Sweden,"SWE","Food production index (2014-2016 = 100)","AG.PRD.FOOD.XD","98.68","99.05","97.18","100.63","96.32","90.66","92.96","94.22","96.19","90.86","93.08","93.12","93.26","99.57","102.36","98.07","100.95","85.17","NA","NA"
Sweden,"SWE","Agricultural irrigated land (% of total agricultural land)","AG.LND.IRIG.AG.ZS","NA","NA","1.68953525134366","NA","1.51896766169154","NA","1.72680905323558","NA","NA","2.04213938411669","NA","NA","1.70281177203977","NA","NA","NA","NA","NA","NA","NA"
Sweden,"SWE","Agricultural land (% of land area)","AG.LND.AGRI.ZS","7.68630891455866","7.72530096992738","7.70824194570356","7.75941901837501","7.83740312911244","7.70824194570356","7.64487985572939","7.53765170346542","7.50353365501779","7.51815567578106","7.47185261003071","7.48416556193843","7.48244709579221","7.44568019444649","7.4631116348727","7.44273403550122","7.41695514473006","7.38749355527731","NA","NA"
Sweden,"SWE","Agricultural land (sq. km)","AG.LND.AGRI.K2","31540","31700","31630","31840","32160","31630","31370","30930","30790","30850","30660","30486","30479","30327","30398","30315","30210","30090","NA","NA"
Sweden,"SWE","Agricultural machinery, tractors per 100 sq. km of arable land","AG.LND.TRAC.ZS","609.067261241174","608.143444153904","606.526631657914","604.668674698795","591.512231282431","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
Sweden,"SWE","Forest area (% of land area)","AG.LND.FRST.ZS","68.6113954281815","68.5894623970366","68.5675293658917","68.5455963347468","68.5236633036019","68.501730272457","68.4797972413121","68.4578642101672","68.4359311790223","68.4139981478774","68.3686698835112","68.8265331172976","68.780871016841","68.7402715376494","68.6946060739977","68.6946060739977","68.6946060739977","68.6946060739977","68.6946060739977","68.6946060739977"
Sweden,"SWE","Land area (sq. km)","AG.LND.TOTL.K2","410340","410340","410340","410340","410340","410340","410340","410340","410340","410340","410340","407340","407340","407310","407310","407310","407310","407310","407310","407310"
Sweden,"SWE","Rural land area (sq. km)","AG.LND.TOTL.RU.K2","NA","NA","NA","NA","NA","NA","NA","NA","NA","390507.2813","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
Sweden,"SWE","Urban land area (sq. km)","AG.LND.TOTL.UR.K2","NA","NA","NA","NA","NA","NA","NA","NA","NA","31152.32031","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
Sweden,"SWE","Crop production index (2014-2016 = 100)","AG.PRD.CROP.XD","88.82","89.23","86.68","93.58","87.68","75.82","84.53","87.21","91.84","79.4","85.29","89.96","88.69","99.88","103.92","96.21","103.33","64.44","NA","NA"
Sweden,"SWE","Permanent cropland (% of land area)","AG.LND.CROP.ZS","0.00731101038163474","0.00731101038163474","0.00731101038163474","0.0121850173027246","0.0121850173027246","0.0121850173027246","0.0121850173027246","0.0121850173027246","0.0121850173027246","0.0121850173027246","0.0121850173027246","0.0122747581872637","0.0122747581872637","0.00982052981758366","0.00982052981758366","0.00982052981758366","0.00982052981758366","0.00982052981758366","NA","NA"
Sweden,"SWE","Cereal yield (kg per hectare)","AG.YLD.CREL.KG","4583.3","4780.4","4584.5","4892.9","4932.3","4292.2","5150.8","4820.5","5078.9","4510.4","4712.9","5101.8","5123.5","5646.9","6053.6","5438.2","5992.3","3534.7","NA","NA"
Central African Republic,"CAF","Food exports (% of merchandise exports)","TX.VAL.FOOD.ZS.UN","2.71132625253555","2.12618564769347","1.38571351663634","1.88970694229923","0.835466373510684","0.249827200319048","2.69954221889991","1.44090824789445","3.54237133380463","1.52408972316671","1.2080835067689","0.431090999936319","0.125905983190355","0.10284898598996","0.521337955136677","0.350551284452141","1.38350578026846","0.208240815133424","NA","NA"
Central African Republic,"CAF","Food imports (% of merchandise imports)","TM.VAL.FOOD.ZS.UN","26.953910571875","20.3500063860346","23.4488970904762","16.4830033994524","17.2316347803967","0.473760728207188","18.61193207568","25.9297888492311","39.328122950577","28.0919180329271","31.236282987213","29.6181979973681","36.0369625938114","26.3645842639784","15.161068011011","15.9203892577317","21.0707536928277","20.5608427319176","NA","NA"
Central African Republic,"CAF","Food production index (2014-2016 = 100)","AG.PRD.FOOD.XD","78.07","79.5","78.24","82.88","84.66","86.87","91.61","93","95.52","95.93","101.1","101.98","102.6","97.87","99.1","103.02","105.02","107.25","NA","NA"
Central African Republic,"CAF","Agricultural irrigated land (% of total agricultural land)","AG.LND.IRIG.AG.ZS","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
Central African Republic,"CAF","Agricultural land (% of land area)","AG.LND.AGRI.ZS","8.26511284471412","8.26511284471412","8.33895149121962","8.37105525056984","8.37105525056984","8.36302931073229","8.36302931073229","8.36302931073229","8.39513307008251","8.15435487495586","8.15435487495586","8.15435487495586","8.15435487495586","8.15435487495586","8.15435487495586","8.15435487495586","8.15435487495586","8.15435487495586","NA","NA"
Central African Republic,"CAF","Agricultural land (sq. km)","AG.LND.AGRI.K2","51490","51490","51950","52150","52150","52100","52100","52100","52300","50800","50800","50800","50800","50800","50800","50800","50800","50800","NA","NA"
Central African Republic,"CAF","Agricultural machinery, tractors per 100 sq. km of arable land","AG.LND.TRAC.ZS","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
